objectid,bevoegd_gezag_nummer,brin_nummer,vestigingsnummer,vestigingsnaam,denominatie,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_3_jaar,lftd_4_jaar,lftd_5_jaar,lftd_6_jaar,lftd_7_jaar,lftd_8_jaar,lftd_9_jaar,lftd_10_jaar,lftd_11_jaar,lftd_12_jaar,lftd_13_jaar,lftd_14_jaar
60,32073,05NR,05NR00,Christelijke Basisschool De Regenboog,Protestants-Christelijk,Schoolstraat,3,9342PE,EEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.regenboog-een.nl,222519,565783,pc6hnrgeentoev,,45,0,3,6,6,2,7,12,5,0,4,0,0
61,32073,05TN,05TN00,CBS De Vaart Christelijke Basisschool,Protestants-Christelijk,Rijksweg,152,9423PB,HOOGERSMILDE,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,                                                                                ,223485,547869,pc6hnrgeentoev,,63,0,3,10,7,7,5,10,7,11,3,0,0
62,32073,05TS,05TS00,Christelijke Basisschool De Veenster,Protestants-Christelijk,Kerklaan,12,9341AV,VEENHUIZEN,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.cbsdeveenster.nl,222632,561050,pc6hnrgeentoev,,46,0,2,4,4,6,9,8,6,6,1,0,0
63,32073,06HP,06HP00,Protestants Christelijke Basisschool Het Octaaf,Protestants-Christelijk,Witterhoofdweg,1-C,9405HX,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.octaafassen.nl,231731,556209,pc6hnrtoev,,124,0,19,15,28,16,13,13,9,11,0,0,0
64,32073,06HZ,06HZ00,Christelijke Basisschool De Wingerd,Protestants-Christelijk,Ds Luitsen Dijkstrastr,8,9421PH,BOVENSMILDE,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.cbsdewingerd.nl,228285,555031,pc6hnrgeentoev,,119,0,12,14,10,10,18,17,16,18,4,0,0
65,32073,06LV,06LV00,Basisschool De Marke,Protestants-Christelijk,de Weegbree,21,9461KM,GIETEN,1680,AA EN HUNZE,Drenthe,GGD Drenthe,www.demarkegieten.nl,247905,558086,pc6hnrgeentoev,,58,0,4,7,7,6,9,4,11,7,3,0,0
66,32073,07AU,07AU00,De Wegwijzer,Protestants-Christelijk,Zuidbrink,26,9431AR,WESTERBORK,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.wegwijzer-westerbork.nl,237257,540733,pc6hnrgeentoev,,199,0,17,21,14,16,31,33,35,29,3,0,0
67,32073,08PP,08PP00,Basisschool de Schutkampen,Protestants-Christelijk,Prins Hendrikstraat,2,9422GJ,SMILDE,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.cbsdeschutkampen.nl,226220,551503,pc6hnrgeentoev,,284,0,28,40,32,51,28,32,40,26,7,0,0
68,32073,09KO,09KO00,De Regenboog,Protestants-Christelijk,Lisdoddestraat,2,9404KE,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.regenboogassen.nl,234823,556322,pc6hnrgeentoev,,134,0,11,17,21,14,14,20,21,13,3,0,0
69,32073,09QP,09QP00,Basisschool Prinses Beatrix,Protestants-Christelijk,Sportlaan,10,9411BG,BEILEN,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.cbsprinsesbeatrix.nl,230488,542542,pc6hnrgeentoev,,154,0,16,18,20,15,20,20,24,18,3,0,0
70,32073,10KN,10KN00,Basisschool De Eshorst,Protestants-Christelijk,Esweg,106,9411AK,BEILEN,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,                                                                                ,231052,542618,pc6hnrgeentoev,,302,0,38,32,39,41,41,30,33,39,9,0,0
71,32073,11KN,11KN00,De Lichtbaak,Protestants-Christelijk,Amstelstraat,14-B,9406TH,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.delichtbaak.nl,232560,558575,pc6hnrtoev,,200,0,24,22,26,24,24,21,25,26,8,0,0
