objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
59,93744,25GR,25GR02,nv Bartimeus,Protestants-Christelijk,(V)SO,1,Graanweg,1-b,7242AT,LOCHEM,262,LOCHEM,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,224935,464236,pc6hnr,,28,7.25,11.75,9,0,0,0
60,96240,02YN,02YN04,De Ambelt LZK,Algemeen bijzonder,(V)SO,4,Tussen de Eiken,107,7325HH,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,197646,470873,pc6hnrgeentoev,,11,11,0,0,0,0,0
61,96240,02YN,02YN05,De Ambelt LZK,Algemeen bijzonder,(V)SO,4,Markerichtersveld,1,7327JH,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,196936,466712,pc6hnrgeentoev,,474,7.25,38.75,93.75,197.5,136.75,0
62,96240,02YN,02YN07,De Ambelt LZK,Algemeen bijzonder,(V)SO,4,Elspeterweg,40,8071PA,NUNSPEET,302,NUNSPEET,Gelderland,GGD Noord- en Oost-Gelderland,home.zonnet.nl,182059,486255,pc6hnrgeentoev,,162,0,0,25.5,108.25,28.25,0
63,96240,14XF,14XF04,De Ambelt Oosterenk,Algemeen bijzonder,(V)SO,4,Noorderlaan,61,7322HM,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,194982,470145,pc6hnrgeentoev,,37,0.75,18.25,18,0,0,0
64,96240,14XF,14XF05,De Ambelt Oosterenk,Algemeen bijzonder,(V)SO,4,Gentiaanstraat,804,7322CZ,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,195445,471463,pc6hnrgeentoev,,86,0,0,10.75,51.5,23.75,0
65,30130,26MK,26MK00,De Steiger Geref ZMLK,Gereformeerd vrijgemaakt,(V)SO,3,Koperstraat,4,9743RW,GRONINGEN,14,GRONINGEN,Groningen,GGD Groningen,www.steigerzml.nl,231303,582300,pc6hnrgeentoev,,47,0.5,9.25,12.75,12.5,12,0
66,40851,14WT,14WT00,De Wingerd,Protestants-Christelijk,(V)SO,3,Reggestraat,1,9725KH,GRONINGEN,14,GRONINGEN,Groningen,GGD Groningen,www.dewingerdzmlgroningen.nl,233795,580725,pc6hnrgeentoev,,126,11.5,28.5,32.25,37.75,16,0
67,41358,26MU,26MU00,De Meidoornschool,Protestants-Christelijk,(V)SO,3,Vlaanderenlaan,7,9501TJ,STADSKANAAL,37,STADSKANAAL,Groningen,GGD Groningen,www.meidoornschool.picto.nl,260875,557072,pc6hnrgeentoev,,121,7.5,23.5,25.25,39,25.75,0
68,41613,19TZ,19TZ00,Meentsch Openb Sch v SO aan ZML kinderen,Openbaar,(V)SO,3,P.C. Hooftlaan,99,9673GV,WINSCHOTEN,1895,OLDAMBT,Groningen,GGD Groningen,www.meentschool.nl,265417,573650,pc6hnrgeentoev,,99,4.75,12.25,23.75,31,27.25,0
